 ,投稿日時,テキスト,URL,imp,リプライ数,RT数,いいね数,引用数,投稿アプリ,@,名前,自己紹介,フォロー数,フォロワー数,ツイート数,アカウント作成日,
,2025/08/09 21:27,ノンプロ研メンバーのお友達が来るときは、やっぱり当日手伝いは難しいですよね〜#ノンプロ研 #ノンプロキャンプ,https://twitter.com/undefined/status/1954157551408333266,30,0,0,1,0,Twitter for Mac,watakkie,わたっきー | ノンプログラマーズ・テックキャンプ9/6（土）開催　運営スタッフ,下水道の水質検査のお仕事をしています。ノンプロ研所属。AppSheet/Notion/データベース/Python/VBAに興味あり（出来るとは言ってない）。最近はみきち先生のNotkonスクールに参加しました。Notionうまくかつようできるといいな。,617,247,3538,2021/01/30 13:53,
,2025/08/09 19:37,@nowgorigori ノンプロ研に来て吐き出そう〜いつでもOKよ！,https://twitter.com/undefined/status/1954130022307971376,62,1,0,2,0,Twitter for iPhone,ntakahashi0505,タカハシノリアキ#【無料】9/6(土)ノンプログラマーズ・テックキャンプ開催準備中！,株式会社プランノーツ代表。一般社団法人ノンプログラマー協会代表理事。コミュニティ「ノンプロ研」主宰。日本の働くの価値を上げる。リスキリング＆DX＆越境学習支援。Voicyパーソナリティ。NewsPicksプロピッカー。東京工芸大学大学院非常勤講師。自著→#デジタルリスキリング入門 #パーフェクトVBA #GAS本 他,4635,9684,73185,2012/12/13 11:15,
,2025/08/09 12:30,RT @UNEXT_football: プレミアリーグ＜年間視聴パス＞が当たる！優勝予想キャンペーン実施中🔥,https://twitter.com/undefined/status/1954022336048640049,48840035,0,231,0,0,Praized,watch_UNEXT,U-NEXT,U-NEXT公式アカウントです。映像作品や電子書籍の情報をお届けします💁‍♀️ #UNEXTお問い合わせ▶︎https://t.co/lkYTrhRmsx,109,639107,173938,2011/03/03 18:26,
,2025/08/07 20:50,続いて、古谷さんの発表「Voicyノンプロ研ラジオのパーソナリティ」になった軌跡についてです。#ノンプロ研  #ZoomIn,https://twitter.com/undefined/status/1953423592538137059,62,0,0,2,0,Twitter for Mac,watakkie,わたっきー | ノンプログラマーズ・テックキャンプ9/6（土）開催　運営スタッフ,下水道の水質検査のお仕事をしています。ノンプロ研所属。AppSheet/Notion/データベース/Python/VBAに興味あり（出来るとは言ってない）。最近はみきち先生のNotkonスクールに参加しました。Notionうまくかつようできるといいな。,617,247,3538,2021/01/30 13:53,
,2025/08/08 07:38,【なーの講座ラジオ】#14: VBA初心者講座の空回り父さん その③ ノンプロ研VBA初心者講座と受講を考えている方へのメッセージ - ノンプログラマーのためのスキルアップ研究会  @nonprokun https://t.co/g1NLrdUFwg #Voicy,https://twitter.com/undefined/status/1953586517303320918,178,0,1,2,0,Twitter for Android,KaramawariTosan,空回りお父さん,ノンプロ研所属(2023年2月入会)主な学習言語-VBA@GAS学習中,323,199,4499,2009/09/27 17:27,
,2025/08/07 20:51,またもや懇親会でノンプロ研ラジオの話になった前のメンバーでもう一度やってみない？と提案した→だったらレギュラーでやってみない？と誘われた#ノンプロ研  #ZoomIn,https://twitter.com/undefined/status/1953423805600141807,35,0,0,1,0,Twitter Web App,hachi8822,hachi｜9/6(土)開催ノンプログラマーズ・テックキャンプ運営メンバー,ビーグルとちいかわを愛するノンプログラマー。Adobeクリエイティブカレッジ9期生。オンラインコミュニティ「ノンプロ研」で活動中。VBA歴10年、Pythonは基礎習得。いつか講師もしてみたい。最近はAppSheetやパワークエリにもチャレンジ。「なんとかなれー」の精神で毎日学習を楽しんでいます。,372,106,2013,2024/08/12 16:12,
,2025/08/08 14:17,@nakamakoko ご無沙汰してます！以前江別でご挨拶させていただいたノンプロ研のケニーです！来月、6日(土)ノンプロ研初の単独イベントがあります！運営として試行錯誤してますが、もし良かったら遊びに来て下さい〜！https://t.co/UOihu985NZ,https://twitter.com/undefined/status/1953686974247956816,59,0,0,0,0,Twitter for iPhone,TsujiKenzo,Kenny | 9/6(土)開催ノンプログラマーズ・テックキャンプ2025運営メンバー,ケニーです。株式会社TG GLOBAL 代表取締役 https://t.co/FnwA3xonmA 日本一のホタテを世界に🐟コーチ🦄プログラマ🛫中小企業チャレンジ 📻 Podcast『五感で楽しむ旬北海道ラジオ』 学習ブログやnote（ほぼポエム）も書いてます https://t.co/cqCOxmHszJ,1184,1148,21716,2018/07/21 18:55,
,2025/08/06 12:20,昨日のコミュニティ活用講座のリフレクション①学んだこと長年ノンプロ研にいると、つい忘れちゃう大事なことが再確認出来ました。初心に帰るって大事ですよね。②今後活かせそうなこと今日学んだことを来週の講座でも活かしていきたいと思います。#ノンプロ研 #コミュニティ活用講座,https://twitter.com/undefined/status/1952932652023247357,79,0,0,3,0,Twitter for Mac,watakkie,わたっきー | ノンプログラマーズ・テックキャンプ9/6（土）開催　運営スタッフ,下水道の水質検査のお仕事をしています。ノンプロ研所属。AppSheet/Notion/データベース/Python/VBAに興味あり（出来るとは言ってない）。最近はみきち先生のNotkonスクールに参加しました。Notionうまくかつようできるといいな。,617,247,3538,2021/01/30 13:53,
,2025/08/06 07:43,@nonprokun 今は改革者ポジションではないですが、ノンプロ研に入った頃は本当に孤独でした！そしてノンプロ研に入ってもっと楽に解決する方法があったのには目からウロコでした,https://twitter.com/undefined/status/1952862940136390693,324,0,3,5,0,Twitter for iPhone,don2daibutsusan,たかまい@生成AI・技術ライティング勉強中,二児のママ🌸 今年家庭菜園デビュー🌱 庭で夏野菜全般を育ててます！   AviUtlで動画編集を楽しみつつ、Copilotを使いながらプログラミングも勉強中💻   ミニバス役員として大会や遠征を全力サポート🏀   ノンプロ研で学びと交流も📚 #家庭菜園 #動画編集 #ミニバス #ノンプロ研 #プログラミング,516,551,5642,2012/02/14 05:53,
,2025/08/06 07:26,ノンプロ研メンバーによるイベント制作の裏側をお届けするVoicy『ノンプロキャンプ2025準備室』毎週水曜日と土曜日の朝7時更新です📻今日は2回目の放送をお届けします！イベントは9月6日（土）東京開催です！入場無料！お申し込みは番組内のチャプターリンクから！https://t.co/WMcesC1qxg,https://twitter.com/undefined/status/1952858813322936400,598,0,2,5,0,Twitter Web App,TsujiKenzo,Kenny | 9/6(土)開催ノンプログラマーズ・テックキャンプ2025運営メンバー,ケニーです。株式会社TG GLOBAL 代表取締役 https://t.co/FnwA3xonmA 日本一のホタテを世界に🐟コーチ🦄プログラマ🛫中小企業チャレンジ 📻 Podcast『五感で楽しむ旬北海道ラジオ』 学習ブログやnote（ほぼポエム）も書いてます https://t.co/cqCOxmHszJ,1184,1148,21716,2018/07/21 18:55,
